,date,publication,words,author,title,intro
43,2015-02-23,La Croix,65mots,,Le patron du Giec accusé de harcèlement sexuel,"        Président du Groupe intergouvernemental d'experts sur le  climat (Giec) depuis 2002, l'Indien Rajendra Pachauri a dû provisoirement renoncer à ses engagements officiels pour répondre d'accusations de harcèlement sexuel dans ...  "
44,2015-01-13,La Croix,680mots,LAURENT Corinne|DE BOISSIEU Laurent,Les politiques cherchent à préserver l'union sans détruire le débat,"    ...  Paris, et celui qui sera dédié à toutes les victimes des attentats, aux Invalides. Le  climat de consensus s'est déplacé dans les rangs parlementaires, avec une multiplication de démarches transpartisanes. À ...  "
45,2015-03-06,La Croix,708mots,FERRE Jean-Luc,Climat de forte tension autour du barrage de Sivens,"    ...  échauffourées qui, de part et d'autre, sont le fait d'éléments incontrôlables, pourrissent le  climat local.  « Tout le monde joue avec le feu , reconnaît Philippe Jougla, le président de la FDSEA ...  "
46,2015-03-03,La Croix,389mots,SERGENT Denis,"Aux États-Unis, chercheurs et grand public divergent sur la science","    ...  danger, contre seulement 37 % du grand public. Le fossé est aussi profond sur le changement  climatique: 87 % des scientifiques l'attribuent en grande partie aux activités humaines, contre 50 % dans le reste ...  "
47,2015-01-16,La Croix,114mots,,Vatican Le pape demande « plus de courage » aux États sur le réchauffement climatique,"        ...  une conférence de presse, alors qu'il était interrogé sur les dangers liés au changement  climatique et les conséquences de certaines actions de l'homme comme la déforestation. Il a évoqué sa ...  "
48,2015-03-20,La Croix,152mots,,"La plus grande marée du début de siècle est attendue demain sur les côtes françaises, en particulier en Normandie et [...]","        ...  le long des littoraux déjà éprouvés par la montée des eaux.* A terme, le changement  climatique devrait accentuer les risques d'érosion et de submersion marine en France, mais aussi dans de ...  "
49,2015-03-20,La Croix,173mots,,REPÈRES. Réchauffement climatique et océans,        ...  l'océan (de zéro à 700 m) est attesté de 1971 à 2010. Ce réchauffement  climatique global a deux impacts majeurs sur les océans: L'élévation du niveau moyen mondial de la ...  
50,2015-04-21,La Croix,999mots,CHARRIER Pascal,"Les arbres, victimes collatérales de la mondialisation","    ...  Nord. Maintenant, plutôt d'Asie et notamment de Chine. » Or, la Chine connaît une gamme  climatique proche de celle du Vieux Continent, ce qui  « donne aussi une gamme très large de parasites ...  "
51,2015-02-20,La Croix,76mots,,REPERES. L'impact de l'agriculture sur les émissions mondiales,"        ...  riziculture. L'agriculture a été écartée pour le moment du champ des négociations onusiennes sur le  climat, les pays du Sud mettant en avant la priorité donnée à la sécurité alimentaire.  ...  "
52,2015-03-19,La Croix,1315mots,,COURRIER,"        Traditions Quand on sait le temps et le travail qu'a demandé à notre église la révision de ses propres traditions (pour mieux suivre la tradition biblique), on se dit que ...  "
53,2015-04-03,La Croix,68mots,,Le premier ministre accuse les grévistes de vouloir instaurer un « climat d'anarchie »,"        ...  dans les nombreux mouvements sociaux des dernières semaines au Burkina Faso de vouloir instaurer un  «  climat d'anarchie »  avant l'élection du successeur du président renversé Blaise Compaoré, prévue en octobre. Le ...  "
54,2015-01-30,La Croix,749mots,LESEGRETAIN Claire,Les Eglises protestantes examinent les enjeux des mariages interreligieux,"    Parmi les personnes de culture musulmane en France, environ  « 39 % vivent en couples mixtes »  selon des enquêtes récentes. Or, d'après la Fédération protestante de France (FPF),  « la mixité religieuse demeure ...  "
55,2015-02-24,La Croix,692mots,VARET Jacques|ABEL OLivier,Jacques Varet et Olivier Abel pour le forum de Regards protestants Baisse des prix du brut: profitons-en... pour changer de [...],"    ...  ruiner ces initiatives et a les moyens d'attendre. À la veille de la conférence  climat de Paris, face au risque de mesures contraignantes il fallait absolument émettre un signal fortement démobilisateur ...  "
56,2015-04-01,La Croix,191mots,,Les États-Unis s'engagent pour le climat,"        ...  en novembre dernier avec la Chine. Cette annonce intervient à huit mois de la conférence  climat de Paris qui vise à conclure un accord mondial. Initialement, tous les pays  « prêts à le ...  "
57,2015-02-09,La Croix,75mots,,Rencontre sur le climat à Genève,"        Durant toute la semaine, les négociateurs du  climat se retrouvent à Genève pour plancher sur le texte du futur accord de Paris, qui vise à limiter un réchauffement planétaire. C'est le ...  "
58,2015-04-09,La Croix,165mots,Denis Monod-Broca (Paris),"[Nous sommes semblables, frères. Trop...]","    ...  à l'idée que nous nous faisons de notre propre personne. Qui y échappe ? Le  climat de compétition dans lequel nous baignons exacerbe cette tendance instinctive, innée, intrinsèquement humaine. Compétitivité, réussite, excellence ...  "
59,2015-01-07,La Croix,609mots,BESMOND DE SENNEVILLE Loup|LIEVEN Samuel|SENEZE Nicolas,"Le climat et la paix, au centre des voeux des religieux à François Hollande","    ... À quelques mois du sommet de l'ONU sur le  climat, organisée à Paris entre le 30 novembre et le 11 décembre, l'environnement devrait prendre une place toute particulière dans les ...  "
60,2015-03-06,La Croix,811mots,GUILLEMOLES Alain,L'automobile européenne à l'heure de la reprise,"    ...  où l'effondrement de 2008 est déjà effacé. Cette photographie du secteur joue sur le  climat du Salon automobile de Genève, qui a ouvert hier ses portes au public. Il est le ...  "
61,2015-01-16,La Croix,85mots,,La conférence sur le climat a son logo,"        ...  ministre des affaires étrangères, en présentant avanthier le logo de la conférence sur le  climat qui aura lieu à Paris du 30 novembre au 11 décembre 2015. Pour symboliser la rencontre ...  "
62,2015-02-07,La Croix,997mots,BOYER Paula,"Escapade au Québec, sur les rives du Saint-Laurent","    ...  de leur culture. Comme le montre cette balade, leur vie était largement influencée par le  climat rude et par l'imposant fleuve SaintLaurent, les rivières, les lacs et les abondantes forêts ...  "
63,2015-01-28,La Croix,533mots,BOURBON Jean-Claude,La consommation d'électricité continue de reculer,"    ...  transport d'électricité. L'explication principale est à chercher du côté de la douceur du  climat, avec une année 2014 classée par Météo France comme la plus chaude depuis le début du ...  "
64,2015-04-09,La Croix,841mots,,COURRIER,"        Paul VI Après la belle page publiée dans votre journal à l'occasion de la béatification du pape Paul VI , il me paraît justifié de rappeler l'importance de son action ...  "
65,2015-01-13,La Croix,92mots,,Un futur satellite pour scruter hauteur et débit des eaux douces,"        Confirmant que 2015 sera  « l'année du  climat » , l'Agence spatiale française, le Cnes, vient de confier au francoitalien Thales Alenia Space la construction du satellite d'observation de la Terre ...  "
66,2015-01-30,La Croix,96mots,,"Le climat, les persécutions antichrétiennes et le Moyen-Orient","        ...  courantes (élections, modification des statuts, rapport de gestion...) et se penchera sur trois sujets: le  climat, considéré comme  « un enjeu pour la FPF avant la COP21 »  (avec interventions de Martin Kopp, Jacques ...  "
67,2015-03-06,La Croix,575mots,FONTENOY Stéphanie,L'enquête accablante de la justice américaine sur la police de Ferguson,"    ...  Eric Holder, qui a présenté en personne les conclusions de l'enquête, a dénoncé le  climat  « toxique »  qui existe entre la police et la population afroaméricaine de Ferguson, et qui a ...  "
68,2015-02-06,La Croix,88mots,,CLIMAT Un grand questionnaire en ligne pour les jeunes,"        ...  publié un questionnaire en ligne à l'occasion de la conférence de Paris sur le  climat (COP21) afin de sonder les jeunes sur les questions d'emploi, d'environnement, de santé et ...  "
69,2015-03-19,La Croix,197mots,Philippe Barbe (Paris),Jeûne pour le climat,"    ...  plus là. Fautil ajouter au credo que l'homme peut et doit changer le  climat, et les leçons désordonnées de morale que certains écologistes donnent volontiers, comme se nourrir de fruits ...  "
70,2015-04-22,La Croix,105mots,,ÉCOLOGIE Le label « grande cause nationale » accordé à un groupement pour le climat,"        ...  a attribué hier le label  « grande cause nationale pour l'année 2015 »  à la Coalition  climat 21, qui regroupe Greenpeace, la Fondation Nicolas Hulot, Oxfam France, Attac ou encore WWF.  « Du 30 ...  "
71,2015-02-03,La Croix,192mots,REMOND Alain,Le sujet,"    ... 'évidence. Mais on entend, tout aussi bien:  « Aujourd'hui, le sujet, c'est... »  (le réchauffement  climatique, la dette grecque, l'échalote traditionnelle...). Autre variante, quand une personne coupe la parole à une ...  "
72,2015-04-03,La Croix,930mots,GEFFROY Flore,La Californie contrainte à agir face à la sécheresse,"    ... 'État éloignées de la côte, car elle ne nécessite pas d'eau de mer et revient moins cher à exploiter. Une solution temporaire qui pourrait bien être pérennisée, changement  climatique oblige.  ...  "
73,2015-04-10,La Croix,694mots,LE NIR Anne,L'Italie cherche les moyens de combattre la maladie des oliviers,"    ...  terre, empoisonnée depuis cinquante ans par des pesticides, appauvrie par les monocultures et le changement  climatique. Au stade actuel des recherches, rien ne permet de dire qu'en éradiquant les oliviers malades ...  "
74,2015-03-11,La Croix,271mots,JIRA Nathalie,BLOC-NOTES,"    ...  environnemental de Lorraine. Domaine de l'Asnée, 11 rue de Laxou, VillerslèsNancy. Site: <a href=""https://www.espaceada.fr"" target=""_blank""> www.espaceada.fr CONFéRENCE Paris Jacques Toubon, défenseur des droits et ancien ministre, donne une conférence dans le cadre ...  "
75,2015-04-30,La Croix,277mots,REJU Emmanuelle,"Sylvie Brunel, professeur de géographie des universités à Paris-Sorbonne (1) : « Respecter la règle des 5 P »","    ...  produits alimentaires soient accessibles au consommateur urbain. Les  P uits: partout, à cause du changement  climatique, il faudra penser à la maîtrise de l'eau et de l'irrigation. La  P ropriété ...  "
76,2015-01-20,La Croix,324mots,SERGENT Denis,"Nicolas Gauvrit Mathématicien et psychologue (université d'Artois et EPHE Paris) : « La part du hasard est réductible, mais pas [...]","    ...  facteurs multiples en interaction sont à l'oeuvre. Accepter qu'un processus physique, biologique ou  climatique n'ait pas une unique cause précise ou soit dû à une cause encore inconnue, est ...  "
