,date,publication,words,author,title,intro
49,2013-06-21,Le Monde,84mots,,""" Faire plus contre le changement climatique ""","...  Nous savons que nous devons faire plus et nous ferons plus pour lutter contre le  changement  climatique "", a promis Barack Obama, mercredi, à Berlin. "" Notre génération doit avancer vers un pacte mondial ..."
50,2013-06-22,Le Monde,732mots,Laurence Tubiana,La transition énergétique est une nécessité,"  ...  juin à un accord inédit visant à la suppression de certains types de gaz à  effet  de  serre (dits HFC) au niveau international dans les années à venir. Le deuxième, qui a ..."
51,2013-06-24,Le Monde,356mots,par Hervé Kempf,Bye-bye USA,"  ...  fait deux pas dans ce sens, par sa taxe sur les émissions de gaz à  effet  de  serre des avions et par la pose de barrières antidumping devant les panneaux solaires ..."
52,2013-06-25,Le Monde,229mots,,Démission du premier ministre,"...  surprise les autorités du pays.   (AFP.) Les EtatsUnis appellent à la mobilisation sur le  changement  climatique NEW DELHI. Le secrétaire d'Etat américain John Kerry a appelé, dimanche 23 juin, en ..."
53,2013-06-25,Le Monde,37mots,,Les Etats-Unis appellent à la mobilisation sur le changement climatique,"...  John Kerry a appelé, dimanche 23 juin, en Inde, à une mobilisation mondiale accrue contre le  changement  climatique. Le président Obama doit prononcer mardi un important discours sur ce thème.   (AFP.)  ..."
54,2013-06-26,Le Monde,441mots,Frédéric Bobin,La polémique enfle en Inde après le bilan désastreux de la mousson précoce,"  ...  pour l'instant prudents sur l'existence d'un lien entre ce désastre et le  réchauffement  climatique, et en particulier la fonte de glaciers de l'Himalaya. Le  changement  climatique augmente la ..."
55,2013-06-27,Le Monde,512mots,Anne Pélouas,Le projet d'oléoduc géant entre le Canada et les Etats-Unis suspendu à son bilan carbone,"  ... il finalement le jour? Mardi 25 juin, en présentant son plan d'action contre le  changement  climatique, le président américain, Barack Obama, a posé deux conditions à la construction de cet ouvrage ..."
56,2013-06-27,Le Monde,380mots,,"L'Amérique se réveille, enfin!",...  nouvelle : les EtatsUnis sont de retour sur le front de la lutte contre le  changement  climatique. C'est le message qu'a souhaité envoyer Barack Obama en annonçant un  « premier plan ...
57,2013-06-27,Le Monde,402mots,Stéphane Foucart et Sophie Landrin,Bangkok sous les eaux en 2030?,"  ...  ce que redoute la Banque mondiale qui, dans son rapport sur les impacts régionaux du réchauffement, publié le 19 juin, place Bangkok parmi les mégalopoles les plus vulnérables au  changement  climatique.  ..."
58,2013-06-27,Le Monde,678mots,Corine Lesnes,Obama repart au combat contre le réchauffement,"  ...  est venue, d'autant qu'ils paient déjà  « le prix de l'inaction »  face au  changement  climatique. Une gageure, illustrée par la rapidité avec laquelle les chaînes câblées se sont détournées du ..."
59,2013-07-01,Le Monde,351mots,par Hervé Kempf,"Pas beau, le Nobel","  ... De surcroît, monsieur le Président, l'action sur le  changement  climatique promise par l'impétrant avait été un des arguments essentiels conduisant à votre choix, un mois avant la conférence de Copenhague ..."
60,2013-07-09,Le Monde,738mots,Laurence Caramel,La République démocratique du Congo relance le barrage géant du Grand Inga,"  ...  desservira uniquement le continent » , met en avant Hela Cheikhrouhou, directrice du département énergie, environnement et  changement  climatique de la BAD. L'Afrique du Sud est la première intéressée. Confronté à des pénuries ..."
61,2013-07-12,Le Monde,608mots,Pierre Le Hir,L'Union européenne veut jauger les agrocarburants d'après leur impact environnemental,"  U ne avancée réelle dans la réduction des gaz à  effet  de  serre. Un signal fort. »  Corinne Lepage ne cachait pas sa satisfaction, jeudi 11 juillet au matin. Rapporteuse du très polémique ..."
62,2013-07-19,Le Monde,329mots,Hervé Kempf,L'Australie avance d'un an l'abandon de la taxe carbone,"  ...  ministres ont démissionné après le changement de chef de gouvernement, dont le ministre chargé du  changement  climatique, Greg Combet, fervent défenseur de la taxe carbone contre les attaques du chef de file ..."
63,2013-07-19,Le Monde,511mots,Rémi Barroux,"Consensus sur l'intention, divergences sur les moyens","  ... «facteur 4», c'estàdire la division par quatre des émissions des gaz à  effet  de  serre à l'horizon 2050 »,  veutil croire. Loin de la position du Medef qui ..."
64,2013-07-20,Le Monde,706mots,,Energie : la transition dont ils ne veulent pas,"...  que je suis se prenait à rêver que le réalisme serait de reconnaître que le  changement  climatique n'attend pas, pas plus que les 3 264 500 chômeurs recensés en mai, ou ..."
65,2013-07-31,Le Monde,344mots,Isabelle Piquer,Des réacteurs nucléaires de plus en plus difficiles à refroidir,"  ...  Lochbaum. A Millstone comme à Braidwood, les réacteurs, à eau pressurisée, sont particulièrement sensibles au  changement  climatique. L'augmentation de la température de l'eau et la réduction du débit des fleuves ..."
66,2013-07-31,Le Monde,577mots,Olivier Mary,Le parc énergétique américain est vulnérable au changement climatique,"  ... 'énergie a consacré mijuillet à la vulnérabilité du secteur américain de l'énergie au  changement  climatique et à la multiplication des sécheresses, tempêtes et autres inondations. Ce document, qui compile des ..."
67,2013-08-05,Le Monde,706mots,,"Les troubles du climat, source de conflits","...  la lumière des tumultes de l'Histoire, ses auteurs estiment que, dans le futur,  "" le  changement  climatique d'origine anthropique risque d'augmenter considérablement les conflits de par le monde "" . Une conclusion ..."
68,2013-08-07,Le Monde,1284mots,Yves Eudes,Bouleversements au Grand Nord - 2/6 Groenland Les pêcheurs ont la main verte,"  ...  Scandinaves, métis  , mais ici, tout le monde est d'accord sur un point essentiel : le  réchauffement  climatique, spectaculaire dans la région, est la meilleure chose qui soit jamais arrivée au Groenland. Peu ..."
69,2013-08-08,Le Monde,940mots,Julien Blanc-Gras,"MAîTRES EN LEUR ROYAUME 3/6. Anote Tong, gardien des atolls submersibles","  ...  de Copenhague en 2009, il a organisé l'année suivante sa propre conférence sur le  changement  climatique à Tarawa; douze pays y ont signé la déclaration d'Ambo, incitant la communauté internationale ..."
70,2013-08-09,Le Monde,1261mots,Yves Eudes,Bouleversements au Grand Nord 4/6 . Alaska Le peuple des deux rives,"  ...  programmes binationaux : surveillance des migrations des baleines, des morses et des ours blancs, analyse du  changement  climatique, études ethnologiques et archéologiques, plus quelques échanges artistiques, comme pour le Qatnut. Pour les Russes ..."
71,2013-08-12,Le Monde,613mots,Gilles van Kote,Un village cossu du Sussex se refuse au gaz de schiste,  ... 'incompatibilité du développement de cette énergie fossile avec la réduction des émissions de gaz à  effet  de  serre nécessaire pour limiter le  réchauffement  climatique. Les proportions du campement improvisé de Balcombe sont ...
