date,publication,words,author,title,intro
2014-06-02,Libération,1190mots,Coralie Schaub|Recueilli par Coralie Schaub,«Nier le réchauffement est immoral»,"  ...  avec Erik Conway, historien à la Nasa.  Votre livre est effrayant : sans action immédiate, le  changement  climatique va provoquer migrations massives, famines, épidémies et, in fine, l'effondrement de notre civilisation avant ..."
2014-06-06,Libération,904mots,Laure Noualhat,Effet de serre «La pression va monter»,  ...  pour les Etats. Les pays doivent s'engager à réduire leurs émissions de gaz à  effet  de  serre à une date déterminée. Ils doivent aussi s'engager financièrement et mettre en oeuvre ...
2014-06-18,Libération,772mots,Coralie Schaub,Energie : un gros effort de transition,"  ...  contre 75% aujourd'hui. Mais aussi, et surtout, la baisse des émissions de gaz à  effet  de  serre de 40% en 2030 (par rapport à 1990), la réduction de moitié de la ..."
2014-07-04,Libération,940mots,Sylvestre Huet,Le climat échauffe les négos,"  ...  surface des océans, est construit. Il n'est qu'un signe parmi d'autres du  changement  climatique en cours. Comme l'élévation de température des océans profonds. Ou la hausse du niveau ..."
2014-07-19,Libération,1179mots,Anne DIATKINE,«La méduse détient peut-être les clés de l'immortalité»,"  ...  méduse. Le petit polype, comme la méduse, va lui aussi se reproduire. Mais avec le  réchauffement  climatique, les polypes bourgeonnent beaucoup plus tôt qu'avant, et les méduses émettent des oeufs pendant ..."
2014-07-23,Libération,554mots,Coralie Schaub,Centrales au charbon : l'Europe des trente crasseuses,"  ...  européenne n'a pas renoncé à montrer l'exemple en matière de lutte contre le  changement  climatique. Magnifique, surtout quand on sait que la prochaine conférence climat aura lieu l'an prochain ..."
2014-08-19,Libération,656mots,Christian Losson|Amandine Cailhol|Recueilli par Amandine Cailhol et Christian Losson,Attac : «La vague d'Occupy ne s'est pas arrêtée»,"  ...  à commencer par NotreDamedesLandes, ou les initiatives Alternatiba  [village des alternatives au  changement  climatique, ndlr] . Au regard du contexte difficile dans lequel le pays est plongé, la France ne ..."
2014-09-10,Libération,451mots,Coralie Schaub,Le «Transitiomètre» ne fait pas dans la demi-mesure,"  ... «l'engagement pris par la France de diviser par quatre ses émissions de gaz à  effet  de  serre entre 1990 et 2050» . Crible.  Las, les actes ne suivent pas. Et le projet ..."
2014-09-20,Libération,602mots,Coralie Schaub,Climat : en marche pour le sommet,"  ...  pays ce weekend. Soit deux jours avant le sommet des Nations unies sur le  changement  climatique, censé poser les jalons de la conférence mondiale sur le climat à Paris fin 2015 ..."
2014-09-22,Libération,1173mots,Coralie Schaub,Climat il pleut des data,"  ...  collectivités locales, entreprises et citoyens américains de s'informer et se prémunir des effets du  changement  climatique (inondations et sécheresses dans la phase pilote actuelle; impacts sur la santé, les écosystèmes et ..."
