month,lemonde,lefigaro,lesechos,libé,lacroix,lemonde_percentage,lefigaro_percentage,libé_percentage,lesechos_percentage,lacroix_percentage
2019-05,35,14,20,11,8,1.4699706005879882,0.3219871205151794,0.7119741100323626,0.7803355442840421,0.37860861334595364
2019-06,27,14,19,15,5,1.2042818911685995,0.342549547345241,1.04675505931612,0.7707910750507099,0.25316455696202533
2019-07,16,13,20,16,16,0.7684918347742555,0.3568487510293714,1.1011699931176875,0.819000819000819,0.7992007992007992
2019-08,23,16,12,13,11,1.3090495162208309,0.5203252032520325,0.9272467902995721,0.6259780907668232,0.6030701754385964
2019-09,33,27,25,22,10,1.3871374527112232,0.6609547123623011,1.5736766809728182,0.9204712812960236,0.4911591355599214
2019-10,26,10,19,10,8,1.0268562401263823,0.21968365553602814,0.6609385327164574,0.6314390162844798,0.39980009995002497
2019-11,26,14,28,15,9,1.2252591894439209,0.3271028037383178,1.0309278350515463,1.1119936457505957,0.5073280721533258
2019-12,38,27,33,17,20,1.729631315430132,0.67618332081142,1.2399708242159009,1.3485901103391909,1.0995052226498077
2020-01,29,24,37,9,10,1.2719298245614035,0.5445881552076242,0.6267409470752089,1.3602941176470589,0.4894762604013705
2020-02,13,21,32,4,7,0.5681818181818182,0.4872389791183295,0.26702269692923897,1.2648221343873518,0.45425048669695006
2020-03,13,3,16,10,8,0.628930817610063,0.06880733944954129,0.8156606851549755,0.6127920337035618,0.502828409805154
2020-04,18,1,9,6,0,1.0256410256410255,0.025271670457417232,0.5888125613346418,0.400355871886121,0.0
2020-05,10,1,9,5,6,0.5675368898978433,0.027056277056277056,0.4659832246039142,0.47770700636942676,0.4885993485342019
2020-06,26,12,12,7,12,1.2757605495583906,0.2991772625280479,0.6560449859418931,0.502092050209205,0.6666666666666667
2020-07,21,8,14,11,7,1.1506849315068493,0.23222060957910012,0.9573542210617928,0.6809338521400778,0.39436619718309857
2020-08,17,8,11,7,7,1.1363636363636365,0.27932960893854747,0.6363636363636364,0.6200676437429538,0.4194128220491312
2020-09,34,8,28,9,12,1.4712245781047164,0.19277108433734938,0.8249312557286892,1.0699273977837218,0.5991013479780329
2020-10,20,9,19,7,5,0.8561643835616438,0.2053856686444546,0.5922165820642978,0.7370054305663305,0.2660989888238425
2020-11,8,10,23,6,10,0.4087889626980072,0.25125628140703515,0.5655042412818096,0.9708737864077669,0.531632110579479
2020-12,31,18,31,17,7,1.474084640989063,0.49737496546007187,1.6299137104506232,1.2981574539363483,0.34791252485089463
2021-01,20,11,17,7,8,0.9537434430138292,0.2925531914893617,0.6183745583038869,0.720949957591179,0.39428289797930016
2021-02,20,10,24,5,5,0.9940357852882704,0.282326369282891,0.46728971962616817,1.0313708637730983,0.4302925989672977
2021-03,24,7,26,4,8,1.0633584404076208,0.17165277096615988,0.33812341504649196,0.9705113848450915,0.56657223796034
2021-04,26,20,39,15,10,1.2149532710280373,0.5235602094240838,1.3345195729537367,1.6331658291457287,0.8396305625524769
2021-05,14,13,28,3,6,0.6920415224913495,0.35451322607035723,0.30120481927710846,1.2595591542959963,0.495458298926507
2021-06,15,18,25,6,12,0.5912495072920773,0.4274519116599383,0.5008347245409015,0.9858044164037855,0.8468595624558928
2021-07,26,19,39,17,8,1.2639766650461837,0.5427020851185376,1.3428120063191153,2.016546018614271,0.6890611541774333
2021-08,27,20,22,9,15,1.768172888015717,0.690846286701209,0.8181818181818182,1.177100053504548,1.3537906137184115
2021-09,36,24,27,10,9,1.550387596899225,0.5866536299193351,0.945179584120983,1.0804321728691477,0.6736526946107785
2021-10,48,36,57,18,19,1.9753086419753085,0.9183673469387756,1.5267175572519083,2.283653846153846,1.498422712933754
