,date,publication,words,author,title,intro
47,2017-09-21,Le Monde,1019mots,Marie Bourreau et Simon Roger (à Paris),Examen de passage réussi pour le projet de pacte mondial pour l'environnement,"    ...  de l'Inde, du Mexique, des îles Fidji  qui présideront la prochaine conférence sur le  climat, la COP, en novembre  et de nombreux chefs d'Etats du continent africain l'ont convaincu ...  "
48,2017-09-27,Le Monde,482mots,Murielle Joudet,Le retour du héraut du climat,"    ...  vérité qui dérange, le documentaire de Davis Guggenheim qui sensibilisa un large public au réchauffement  climatique à travers la figure d'Al Gore, Une suite qui dérange dresse le bilan de dix ...  "
49,2017-10-26,Le Monde,917mots,"Rémi Barroux, Cécile Ducourtieux (Bruxelles, bureau européen) et Simon Roger",La France présente son plan d'action pour encadrer le CETA,"    ...  faisant valoir, à l'instar de Nicolas Hulot, que le traité n'était pas compatible avec l'accord de Paris sur le  climat, conclu lors de la COP21, en décembre 2015.  ...  "
50,2017-09-27,Le Monde,942mots,par Gaël Giraud et Françoise Rivière par Gaël Giraud et Françoise Rivière,Comment conjurer une catastrophe comme l'ouragan Irma?,"    ...  la Guadeloupe apparaissaient déjà parmi les territoires les plus exposés aux conséquences physiques du dérèglement  climatique (Spécialisation touristique et vulnérabilités. Réalités et enjeux pour le développement soutenable des petits territoires insulaires, sous ...  "
51,2017-09-01,Le Monde,545mots,,Harvey : les silences de Donald Trump,"        ...  Les épargneratil après Harvey ? Mais c'est surtout sur la question du dérèglement  climatique que le silence de Donald Trump est assourdissant. Si les experts, prudents, restent réticents à établir ...  "
52,2017-09-20,Le Monde,367mots,,"La "" guerre culturelle "" des villes contre Trump le climatosceptique",        ...  par Donald Trump du retrait des EtatsUnis de l'accord de Paris sur le  climat n'a pas empêché les collectivités locales américaines de se prendre en main : 375 d'entre ...  
53,2017-12-12,Le Monde,847mots,Arnaud Leparmentier,"Scott Pruitt, un climatosceptique pour éclairer Trump","    ...  plus emblématique est l'annonce de la sortie de l'accord de Paris sur le  climat, le 1er juin. Cette décision majeure est accompagnée d'une série de mesures prises par un ...  "
54,2017-12-29,Le Monde,775mots,Corine Lesnes,"La Californie, victime d'incendies apocalyptiques","    ...  recette pour une tempête parfaite », selon l'expression de Glen MacDonald, géographe et spécialiste du  climat à l'université de Californie à Los Angeles (UCLA). « Nous avons eu des précipitations significatives l ...  "
55,2017-11-17,Le Monde,1559mots,Arnaud Leparmentier,"Charbon. Dans le Wyoming, Trump souffle sur les braises","    ... 'étranglement de l'économie du charbon mise en place par Obama, comme si le réchauffement  climatique n'existait pas. « Les gens partent » Barack Obama avait décidé début 2016 d'un moratoire sur ...  "
56,2017-12-12,Le Monde,652mots,Audrey Garric,La biodiversité déjà bouleversée par le réchauffement,"    ...  d'une mer plus chaude et plus acide. Les effets, nombreux et complexes, du changement  climatique sur la biodiversité sont de plus en plus documentés. Mais les scientifiques ne comprennent toujours pas ...  "
57,2017-09-09,Le Monde,962mots,propos recueillis par Audrey Garric propos recueillis par Audrey Garric,Isabelle Thomas : « Les villes doivent redevenir des éponges »,"    ...  nos modes de développement et de consommation, nous sommes en train d'accélérer le ­dérèglement  climatique. Un des problèmes majeurs est la concentration des populations dans les zones côtières et les espaces ...  "
58,2017-10-13,Le Monde,495mots,Gaïdz Minassian,Le nouvel art de la guerre (et de la paix),"    ...  jamais les auteurs de ce crime des crimes? Enfin, pourquoi avoir préféré l'expression « changement  climatique » à celle de « réchauffement  climatique » ou de « dérèglement  climatique » , employées par la grande majorité des scientifiques ...  "
59,2017-11-02,Le Monde,1128mots,Pierre Le Hir,Climat : la bataille des 2 0 C est presque perdue,"    La bataille du  climat n'est pas encore perdue, mais elle est très mal engagée. A ce stade, il existe un « écart catastrophique » entre les engagements pris par les Etats pour réduire ...  "
60,2017-12-20,Le Monde,1654mots,Claire Gatinois,Le Brésil sous l'emprise des « BBB »,"    ...  Marcos da Rosa qui, à titre personnel, ne croit pas à la « thèse » du réchauffement  climatique, estime que les ONG environnementalistes visent à détruire l'agriculture brésilienne au profit des étrangers et ...  "
61,2017-11-08,Le Monde,738mots,Jeanne Cavelier,La France accueillera 50 chercheurs étrangers,"    Le 4 novembre 2016, l'accord sur le  climat, conclu à Paris lors de la COP21, entrait en vigueur. Quatre jours plus tard, Donald Trump était élu à la Maison Blanche et ...  "
62,2017-10-17,Le Monde,678mots,Cécile Boutelet,L'Allemagne pourrait manquer ses objectifs,"    ...  former le premier gouvernement conservateurlibéralécologiste au niveau fédéral en Allemagne, les experts du  climat sonnent l'alarme : le pays doit impérativement revoir toute sa politique énergétique, sous peine de manquer ...  "
63,2017-09-19,Le Monde,469mots,Simon Roger,Primes et taxation : les mesures de Hulot pour le climat,"    ...  York, à partir de lundi 18 septembre, sur plusieurs dossiers sensibles dont celui du changement  climatique, Nicolas Hulot détaille le même jour, dans un entretien accordé à Libération, les premières mesures de ...  "
